index,date,year,manner_of_death,armed,age,gender,race,city,state,state_ID,signs_of_mental_illness,threat_level,flee,flee_encoded,body_camera
0,2015-01-02,2015,0,1,53,1,0,Shelton,WA,47,True,attack,Not fleeing,0,False
1,2015-01-02,2015,0,1,47,1,5,Aloha,OR,37,False,attack,Not fleeing,0,False
2,2015-01-03,2015,1,0,23,1,2,Wichita,KS,16,False,other,Not fleeing,0,False
3,2015-01-04,2015,0,1,32,1,5,San Francisco,CA,4,True,attack,Not fleeing,0,False
4,2015-01-04,2015,0,1,39,1,2,Evans,CO,5,False,attack,Not fleeing,0,False
5,2015-01-04,2015,0,1,18,1,5,Guthrie,OK,36,False,attack,Not fleeing,0,False
6,2015-01-05,2015,0,1,22,1,2,Chandler,AZ,3,False,attack,Car,1,False
7,2015-01-06,2015,0,1,35,1,5,Assaria,KS,16,False,attack,Not fleeing,0,False
8,2015-01-06,2015,0,0,34,0,5,Burlington,IA,12,False,other,Not fleeing,0,True
9,2015-01-06,2015,0,1,47,1,1,Knoxville,PA,38,False,attack,Not fleeing,0,False
10,2015-01-06,2015,1,1,25,1,5,Stockton,CA,4,False,attack,Not fleeing,0,False
11,2015-01-07,2015,0,1,31,1,1,Freeport,TX,43,False,attack,Not fleeing,0,False
12,2015-01-07,2015,0,1,41,1,1,Columbus,OH,35,True,other,Not fleeing,0,False
13,2015-01-07,2015,0,1,30,1,5,Des Moines,IA,12,False,attack,Car,1,False
14,2015-01-07,2015,0,1,37,1,1,New Orleans,LA,18,False,attack,Foot,1,True
15,2015-01-08,2015,0,0,28,1,5,Huntley,MT,26,False,undetermined,Not fleeing,0,False
16,2015-01-08,2015,0,1,42,1,5,Salt Lake City,UT,44,False,attack,Not fleeing,0,True
17,2015-01-08,2015,0,0,36,1,1,Strong,AR,2,False,attack,Not fleeing,0,False
18,2015-01-08,2015,0,1,49,1,5,Syracuse,UT,44,False,attack,Not fleeing,0,True
19,2015-01-09,2015,0,1,71,1,5,England,AR,2,False,attack,Not fleeing,0,False
20,2015-01-09,2015,0,1,33,1,2,El Paso,TX,43,False,attack,Not fleeing,0,False
21,2015-01-11,2015,0,1,39,1,5,Arcola,IL,14,True,attack,Not fleeing,0,False
22,2015-01-11,2015,0,1,23,1,2,South Gate,CA,4,False,attack,Not fleeing,0,False
23,2015-01-11,2015,1,1,29,1,2,North Las Vegas,NV,33,False,attack,Foot,1,False
24,2015-01-13,2015,0,1,34,1,5,Albuquerque,NM,32,False,attack,Foot,1,True
25,2015-01-13,2015,0,1,43,1,5,Jourdanton,TX,43,True,other,Not fleeing,0,False
26,2015-01-14,2015,0,0,24,1,1,St. Paul,MN,23,False,attack,Not fleeing,0,False
27,2015-01-14,2015,0,0,29,1,5,Franklin County,MO,24,False,attack,Not fleeing,0,False
28,2015-01-14,2015,0,1,34,1,1,Chesapeake,VA,45,True,attack,Not fleeing,0,False
29,2015-01-14,2015,0,1,75,1,5,Old Bridge,NJ,31,False,attack,Not fleeing,0,False
30,2015-01-14,2015,0,1,68,1,5,Lake Jackson,TX,43,False,attack,Not fleeing,0,False
31,2015-01-14,2015,0,1,34,1,5,Draper,UT,44,False,attack,Not fleeing,0,True
32,2015-01-15,2015,0,1,27,1,1,Indianapolis,IN,15,False,attack,Foot,1,False
33,2015-01-15,2015,0,1,39,1,1,Aurora,CO,5,False,attack,Not fleeing,0,False
34,2015-01-15,2015,0,1,24,1,5,Bloomington,MN,23,True,attack,Not fleeing,0,False
35,2015-01-15,2015,0,1,36,1,2,Fairfield,CA,4,True,other,Not fleeing,0,False
36,2015-01-15,2015,0,1,33,1,5,Evangeline Parish,LA,18,False,attack,Not fleeing,0,False
37,2015-01-16,2015,0,1,41,1,5,Mabank,TX,43,False,attack,Car,1,False
38,2015-01-16,2015,1,1,48,1,4,Fremont,CA,4,False,other,Not fleeing,0,False
39,2015-01-17,2015,0,1,21,1,1,Muskogee,OK,36,False,attack,Foot,1,True
40,2015-01-17,2015,0,1,24,1,2,Los Angeles,CA,4,False,attack,Not fleeing,0,False
41,2015-01-17,2015,0,1,27,1,2,Fort Worth,TX,43,False,attack,Not fleeing,0,False
42,2015-01-18,2015,0,1,32,1,5,Maricopa,AZ,3,True,attack,Not fleeing,0,False
43,2015-01-18,2015,1,1,67,1,5,Gunlock,KY,17,True,attack,Not fleeing,0,False
44,2015-01-19,2015,0,1,49,1,5,Weymouth,MA,19,False,attack,Not fleeing,0,False
45,2015-01-20,2015,0,0,42,1,1,Scottsdale,AZ,3,False,other,Car,1,False
46,2015-01-21,2015,0,1,36,1,5,Hemet,CA,4,False,attack,Not fleeing,0,False
47,2015-01-21,2015,0,1,36,1,2,Chapeno,TX,43,False,attack,Foot,1,False
48,2015-01-21,2015,0,1,19,1,1,St. Louis,MO,24,False,attack,Not fleeing,0,False
49,2015-01-21,2015,0,1,54,1,5,Derry,NH,30,True,attack,Not fleeing,0,False
50,2015-01-22,2015,0,1,25,1,1,Sierra Blanca,TX,43,False,attack,Car,1,False
51,2015-01-22,2015,1,1,17,0,5,Longview,TX,43,True,other,Not fleeing,0,False
52,2015-01-23,2015,0,0,29,1,1,Fort Lauderdale,FL,9,False,other,Not fleeing,0,False
53,2015-01-23,2015,0,1,56,1,2,Levelland,TX,43,False,other,Not fleeing,0,False
54,2015-01-23,2015,0,1,61,1,5,Austin,TX,43,True,attack,Not fleeing,0,False
55,2015-01-24,2015,0,1,45,1,5,Rexburg,ID,13,False,attack,Not fleeing,0,False
56,2015-01-24,2015,0,1,26,1,1,Baltimore,MD,20,True,other,Not fleeing,0,False
57,2015-01-24,2015,0,1,40,1,5,Fort Worth,TX,43,False,attack,Not fleeing,0,False
58,2015-01-25,2015,0,1,26,1,2,Pueblo,CO,5,False,attack,Car,1,False
60,2015-01-26,2015,0,1,17,0,2,Denver,CO,5,False,other,Not fleeing,0,False
61,2015-01-26,2015,0,1,68,1,5,New Hope,MN,23,True,attack,Not fleeing,0,False
62,2015-01-26,2015,0,0,24,1,2,Tahoka,TX,43,False,other,Car,1,False
63,2015-01-26,2015,0,1,34,1,2,Wasco,CA,4,True,other,Not fleeing,0,False
64,2015-01-27,2015,0,1,39,0,5,Omaha,NE,29,True,attack,Not fleeing,0,False
65,2015-01-27,2015,0,0,26,1,3,Phoenix,AZ,3,False,other,Not fleeing,0,False
66,2015-01-27,2015,0,1,29,1,5,Morenci,AZ,3,False,attack,Not fleeing,0,False
67,2015-01-27,2015,0,1,33,1,1,Columbus,OH,35,False,attack,Not fleeing,0,False
68,2015-01-28,2015,0,1,45,1,5,Sunset,TX,43,False,attack,Not fleeing,0,False
69,2015-01-28,2015,0,1,26,1,5,Rosenberg,TX,43,False,attack,Not fleeing,0,False
70,2015-01-28,2015,1,1,35,1,0,Stockton,CA,4,True,attack,Not fleeing,0,False
71,2015-01-29,2015,0,1,31,1,5,Wyoming,MI,22,True,attack,Not fleeing,0,False
