index,date,year,manner_of_death,armed,age,gender,race,city,state,state_ID,signs_of_mental_illness,threat_level,flee,flee_encoded,body_camera,longitude,latitude
0,2015-01-02,2015,0,1,53,1,0,Shelton,WA,47,True,attack,Not fleeing,0,False,-123.122,47.247
1,2015-01-02,2015,0,1,47,1,5,Aloha,OR,37,False,attack,Not fleeing,0,False,-122.892,45.487
2,2015-01-03,2015,1,0,23,1,2,Wichita,KS,16,False,other,Not fleeing,0,False,-97.281,37.695
3,2015-01-04,2015,0,1,32,1,5,San Francisco,CA,4,True,attack,Not fleeing,0,False,-122.422,37.763
4,2015-01-04,2015,0,1,39,1,2,Evans,CO,5,False,attack,Not fleeing,0,False,-104.692,40.384
5,2015-01-04,2015,0,1,18,1,5,Guthrie,OK,36,False,attack,Not fleeing,0,False,-97.423,35.877
6,2015-01-05,2015,0,1,22,1,2,Chandler,AZ,3,False,attack,Car,1,False,-111.841,33.328
7,2015-01-06,2015,0,1,35,1,5,Assaria,KS,16,False,attack,Not fleeing,0,False,-97.564,38.704
8,2015-01-06,2015,0,0,34,0,5,Burlington,IA,12,False,other,Not fleeing,0,True,-91.119,40.809
9,2015-01-06,2015,0,1,47,1,1,Knoxville,PA,38,False,attack,Not fleeing,0,False,-79.991,40.413
10,2015-01-06,2015,1,1,25,1,5,Stockton,CA,4,False,attack,Not fleeing,0,False,-121.299,37.93
11,2015-01-07,2015,0,1,31,1,1,Freeport,TX,43,False,attack,Not fleeing,0,False,-95.369,28.955
12,2015-01-07,2015,0,1,41,1,1,Columbus,OH,35,True,other,Not fleeing,0,False,-82.885,39.999
13,2015-01-07,2015,0,1,30,1,5,Des Moines,IA,12,False,attack,Car,1,False,-93.609,41.582
14,2015-01-07,2015,0,1,37,1,1,New Orleans,LA,18,False,attack,Foot,1,True,-90.012,30.022
15,2015-01-08,2015,0,0,28,1,5,Huntley,MT,26,False,undetermined,Not fleeing,0,False,-108.315,45.859
16,2015-01-08,2015,0,1,42,1,5,Salt Lake City,UT,44,False,attack,Not fleeing,0,True,-111.872,40.772
17,2015-01-08,2015,0,0,36,1,1,Strong,AR,2,False,attack,Not fleeing,0,False,-92.359,33.111
18,2015-01-08,2015,0,1,49,1,5,Syracuse,UT,44,False,attack,Not fleeing,0,True,-112.083,41.083
19,2015-01-09,2015,0,1,71,1,5,England,AR,2,False,attack,Not fleeing,0,False,-91.966,34.542
20,2015-01-09,2015,0,1,33,1,2,El Paso,TX,43,False,attack,Not fleeing,0,False,-106.439,31.858
21,2015-01-11,2015,0,1,39,1,5,Arcola,IL,14,True,attack,Not fleeing,0,False,-88.304,39.692
22,2015-01-11,2015,0,1,23,1,2,South Gate,CA,4,False,attack,Not fleeing,0,False,-118.183,33.951
23,2015-01-11,2015,1,1,29,1,2,North Las Vegas,NV,33,False,attack,Foot,1,False,-115.116,36.185
24,2015-01-13,2015,0,1,34,1,5,Albuquerque,NM,32,False,attack,Foot,1,True,-106.586,35.095
25,2015-01-13,2015,0,1,43,1,5,Jourdanton,TX,43,True,other,Not fleeing,0,False,-98.542,28.912
26,2015-01-14,2015,0,0,24,1,1,St. Paul,MN,23,False,attack,Not fleeing,0,False,-93.094,44.958
27,2015-01-14,2015,0,0,29,1,5,Franklin County,MO,24,False,attack,Not fleeing,0,False,-90.794,38.317
28,2015-01-14,2015,0,1,34,1,1,Chesapeake,VA,45,True,attack,Not fleeing,0,False,-76.348,36.783
29,2015-01-14,2015,0,1,75,1,5,Old Bridge,NJ,31,False,attack,Not fleeing,0,False,-74.301,40.405
30,2015-01-14,2015,0,1,68,1,5,Lake Jackson,TX,43,False,attack,Not fleeing,0,False,-95.428,29.031
31,2015-01-14,2015,0,1,34,1,5,Draper,UT,44,False,attack,Not fleeing,0,True,-111.887,40.54
32,2015-01-15,2015,0,1,27,1,1,Indianapolis,IN,15,False,attack,Foot,1,False,-85.991,39.826
